start_time,cell_count,Unique_ID,date,temperature,P.treatment,replicate,unique_number,start.time,time_since_innoc,time_since_innoc_days,time_since_innoc_hours
2016-07-04T14:23:55Z,5164.0,19,JULY4,12,DEF,4,19.0,2016-06-30T14:15:43Z,2016-06-30 14:15:43 UTC--2016-07-04 14:23:55 UTC,4.005694444444444,96.13666666666667
2016-07-01T11:55:41Z,11303.0,2,JULY30,24,FULL,2,42.0,2016-06-30T14:15:43Z,2016-06-30 14:15:43 UTC--2016-07-01 11:55:41 UTC,0.9027546296296296,21.66611111111111
2016-07-02T10:01:02Z,30267.0,2,JULY2,24,FULL,2,42.0,2016-06-30T14:15:43Z,2016-06-30 14:15:43 UTC--2016-07-02 10:01:02 UTC,1.8231365740740741,43.75527777777778
2016-07-03T13:30:24Z,104253.0,2,JULY3,24,FULL,2,42.0,2016-06-30T14:15:43Z,2016-06-30 14:15:43 UTC--2016-07-03 13:30:24 UTC,2.9685300925925926,71.24472222222222
2016-07-04T13:13:11Z,721884.0,2,JULY4,24,FULL,2,42.0,2016-06-30T14:15:43Z,2016-06-30 14:15:43 UTC--2016-07-04 13:13:11 UTC,3.9565740740740742,94.95777777777778
2016-07-05T09:46:31Z,475212.0,2,JULY5,24,FULL,2,42.0,2016-06-30T14:15:43Z,2016-06-30 14:15:43 UTC--2016-07-05 09:46:31 UTC,4.813055555555556,115.51333333333334
2016-06-30T17:35:13Z,6288.0,2,JUNE30,24,FULL,2,42.0,2016-06-30T14:15:43Z,2016-06-30 14:15:43 UTC--2016-06-30 17:35:13 UTC,0.13854166666666667,3.325
2016-07-06T13:22:59Z,17942.0,20,lst,12,DEF,5,20.0,2016-06-30T14:15:43Z,2016-06-30 14:15:43 UTC--2016-07-06 13:22:59 UTC,5.96337962962963,143.1211111111111
2016-07-02T11:02:27Z,4270.0,20,JULY2,12,DEF,5,20.0,2016-06-30T14:15:43Z,2016-06-30 14:15:43 UTC--2016-07-02 11:02:27 UTC,1.865787037037037,44.778888888888886
2016-07-04T14:25:19Z,7265.0,20,JULY4,12,DEF,5,20.0,2016-06-30T14:15:43Z,2016-06-30 14:15:43 UTC--2016-07-04 14:25:19 UTC,4.006666666666667,96.16
2016-07-01T13:44:41Z,3710.0,21,JULY1,16,FULL,1,21.0,2016-06-30T14:15:43Z,2016-06-30 14:15:43 UTC--2016-07-01 13:44:41 UTC,0.9784490740740741,23.482777777777777
2016-07-02T10:31:27Z,3657.0,21,JULY2,16,FULL,1,21.0,2016-06-30T14:15:43Z,2016-06-30 14:15:43 UTC--2016-07-02 10:31:27 UTC,1.8442592592592593,44.26222222222222
2016-07-03T14:07:44Z,16143.0,21,JULY3,16,FULL,1,21.0,2016-06-30T14:15:43Z,2016-06-30 14:15:43 UTC--2016-07-03 14:07:44 UTC,2.9944560185185187,71.86694444444444
2016-07-04T13:53:59Z,31070.0,21,JULY4,16,FULL,1,21.0,2016-06-30T14:15:43Z,2016-06-30 14:15:43 UTC--2016-07-04 13:53:59 UTC,3.9849074074074076,95.63777777777777
2016-07-05T10:31:24Z,80569.0,21,JULY5,16,FULL,1,21.0,2016-06-30T14:15:43Z,2016-06-30 14:15:43 UTC--2016-07-05 10:31:24 UTC,4.844224537037037,116.26138888888889
2016-06-30T15:23:35Z,5482.0,21,JUNE30,16,FULL,1,21.0,2016-06-30T14:15:43Z,2016-06-30 14:15:43 UTC--2016-06-30 15:23:35 UTC,0.04712962962962963,1.1311111111111112
2016-07-01T13:47:35Z,3455.0,22,JULY1,16,FULL,2,22.0,2016-06-30T14:15:43Z,2016-06-30 14:15:43 UTC--2016-07-01 13:47:35 UTC,0.980462962962963,23.531111111111112
2016-07-02T10:32:43Z,6028.0,22,JULY2,16,FULL,2,22.0,2016-06-30T14:15:43Z,2016-06-30 14:15:43 UTC--2016-07-02 10:32:43 UTC,1.8451388888888889,44.28333333333333
2016-07-03T14:08:52Z,19986.0,22,JULY3,16,FULL,2,22.0,2016-06-30T14:15:43Z,2016-06-30 14:15:43 UTC--2016-07-03 14:08:52 UTC,2.9952430555555556,71.88583333333334
2016-07-04T13:56:18Z,31181.0,22,JULY4,16,FULL,2,22.0,2016-06-30T14:15:43Z,2016-06-30 14:15:43 UTC--2016-07-04 13:56:18 UTC,3.9865162037037036,95.6763888888889
