name,replicate,temperature,Particle ID,Area (ABD),Aspect Ratio,Average Blue,Average Green,Average Red,Circle Fit,Circularity (Hu),Compactness,Diameter (ABD),Diameter (ESD),Elongation,Geodesic Aspect Ratio,Geodesic Length,Geodesic Thickness,Intensity,Length,Perimeter,Roughness,Sigma Intensity,Sum Intensity,Transparency,Volume (ABD),Width,datasetID
cl,4,20,30,45.21,0.86,147.29,146.42,139.15,0.9,0.99,1.02,7.59,8.08,1,1,8.13,8.13,144.3,8.79,32.53,1.21,19.32,37662,0.06,228.6639,6.91,cl-4-20
cl,4,20,31,29.96,0.94,121.22,131.7,128.81,0.82,0.97,1.4,6.18,7.15,1.86,0.54,10.48,5.62,129.6,8.22,32.21,1.14,40.71,25013,0.14,123.3343,6.27,cl-4-20
cl,4,20,32,29.96,0.85,118.27,132.12,138.54,0.83,0.96,1.29,6.18,7.19,1.3,0.77,8.74,6.74,132.44,9.03,30.97,1.09,36.91,25560,0.14,123.3343,5.88,cl-4-20
cl,4,20,33,23.75,0.83,139.56,132.44,134.2,0.77,0.93,1.34,5.5,6.53,1.59,0.63,8.94,5.6,132.66,6.8,29.08,1.1,17.33,21757,0.16,87.04429,5.81,cl-4-20
cl,4,20,34,27.15,0.9,166.72,166.09,157.88,0.87,0.98,1.23,5.88,8.43,1,1,8.96,8.96,163.66,9.11,35.84,2.18,19.53,29459,0.3,106.3919,7.73,cl-4-20
cl,4,20,35,40.19,0.93,140.88,147.5,143.41,0.92,0.99,1.07,7.15,7.52,1,1,7.82,7.82,145.51,7.9,31.29,1.07,26.02,34778,0.05,191.6324,6.91,cl-4-20
cl,4,20,36,43.37,0.94,126.67,130.99,127.01,0.94,1,1.03,7.43,7.73,1,1,7.9,7.9,129.27,8.03,31.61,1.05,26.75,32705,0.04,214.8827,6.91,cl-4-20
cl,4,20,37,29.09,0.9,116.39,117.76,121.68,0.88,0.98,1.15,6.09,6.88,1,1,7.38,7.38,118.77,7.73,29.54,1.26,39.89,22447,0.12,118.0067,6.27,cl-4-20
cl,4,20,38,33.91,0.88,156.69,132.99,118.1,0.9,0.99,1.08,6.57,7,1,1,7.38,7.38,131.25,7.51,29.54,1.06,17.53,27693,0.06,148.5417,6.47,cl-4-20
cl,4,20,39,45.21,0.93,149.75,150.2,148.81,0.93,1,1.04,7.59,7.95,1,1,8.05,8.05,149.71,8.49,32.21,1.05,22.39,39075,0.05,228.6639,7.44,cl-4-20
cl,4,20,40,26.72,0.95,152.55,142.9,138.37,0.93,1,1.06,5.83,7.13,1,1,7.47,7.47,141.48,7.48,29.86,1.49,7.6,25183,0.18,103.8816,6.85,cl-4-20
cl,4,20,41,20.22,0.84,133.19,136,128.1,0.82,0.97,1.27,5.07,5.84,1,1,6.68,6.68,133.29,7.32,26.74,1.11,36.88,19594,0.13,68.37271,4.7,cl-4-20
cl,4,20,42,69.3,0.51,128.62,133.83,135.24,0.55,0.78,1.3,9.39,11.26,1.34,0.75,12.38,9.25,133.14,14.42,43.26,1.2,29.75,48329,0.17,433.9742,6.35,cl-4-20
cl,4,20,43,27.36,0.71,143.12,135.81,139,0.8,0.94,1.1,5.9,6.44,1,1,6.91,6.91,136.39,7.71,27.65,1.06,8.89,24687,0.08,107.6568,4.91,cl-4-20
cl,4,20,44,24.8,0.97,125.65,126.46,122.73,0.93,1,1,5.62,5.96,1,1,6.36,6.36,125.2,6.28,25.44,1.04,31.23,21159,0.06,92.90882,5.49,cl-4-20
cl,4,20,45,28.65,0.81,140.85,132.79,122.17,0.87,0.98,1.08,6.04,7.28,1,1,7.63,7.63,129.1,8.45,30.51,1.53,4.77,24142,0.17,115.3809,6.25,cl-4-20
cl,4,20,46,44.06,0.89,123.47,141.7,146.44,0.92,0.99,1.03,7.49,7.82,1,1,7.97,7.97,140.78,8.49,31.88,1.05,43.8,36039,0.04,220.0088,7.05,cl-4-20
cl,4,20,47,32.8,0.83,122.67,129.57,123.28,0.89,0.98,1.05,6.46,6.85,1,1,7.19,7.19,126.9,7.57,28.76,1.06,34.64,26142,0.06,141.3396,5.9,cl-4-20
cl,4,20,48,31.7,0.7,135.26,143.33,139.56,0.77,0.92,1.25,6.35,7.33,1,1,7.76,7.76,141.23,8.55,31.02,1.08,43.16,28387,0.13,134.2906,5.17,cl-4-20
cl,4,20,49,39.51,0.96,148.16,147.74,146.87,0.8,0.97,1.39,7.09,7.98,1.83,0.55,11.49,6.27,147.34,8.57,35.52,1.15,43.68,34773,0.11,186.7958,7.28,cl-4-20
cl,4,20,50,19.81,1,146.35,152.86,152.61,0.93,1,1,5.02,5.33,1,1,5.9,5.9,151.35,5.88,23.61,1.05,23.96,21946,0.06,66.30745,4.7,cl-4-20
cl,4,20,51,25.65,0.91,145.32,142.64,137.71,0.91,0.99,1.06,5.71,6.45,1,1,6.91,6.91,141.45,6.99,27.65,1.33,13.84,24471,0.11,97.71995,5.95,cl-4-20
cl,4,20,52,53.11,0.68,120.63,139.98,145.94,0.7,0.89,1.66,8.22,9.77,2.88,0.35,16.1,5.6,138.96,11.51,43.39,1.18,40.95,40994,0.16,291.1308,6.85,cl-4-20
cl,4,20,53,53.58,0.9,132.37,136.5,133.49,0.91,0.99,1.07,8.26,8.67,1,1,8.72,8.72,134.95,9.46,34.87,1.06,20.2,40081,0.05,294.9972,8.01,cl-4-20
cl,4,20,54,20.22,0.68,153.38,142.86,144.89,0.76,0.91,1.15,5.07,5.8,1,1,6.36,6.36,142.8,7.06,25.44,1.06,8.94,20991,0.12,68.37271,4.32,cl-4-20
cl,4,20,55,25.86,0.96,145.54,146.86,147.51,0.87,0.98,1.17,5.74,6.48,1,1,6.99,6.99,146.58,7.18,27.97,1.07,19.37,25505,0.11,98.9392,5.8,cl-4-20
cl,4,20,56,21.87,0.74,139.53,136.71,134.97,0.76,0.91,1.27,5.28,6.21,1,1,6.88,6.88,136.14,7.95,27.52,1.09,35.15,21101,0.15,76.91247,4.7,cl-4-20
cl,5,20,1,33.47,0.97,109.02,116.86,117.78,0.94,1,1,6.53,6.81,1,1,7.07,7.07,116.24,7.26,28.3,1.04,43.31,24295,0.04,145.6426,6.35,cl-5-20
cl,5,20,2,30.83,0.65,142.13,127.75,124.61,0.76,0.91,1.08,6.27,6.86,1,1,7.14,7.14,121.48,8.55,28.57,1.05,19.39,23932,0.09,128.7626,4.78,cl-5-20
cl,5,20,3,20.83,0.89,131.83,123.75,119.68,0.9,0.99,1.05,5.15,5.97,1,1,6.47,6.47,122.8,6.64,25.9,1.34,6.66,18420,0.14,71.52309,5.28,cl-5-20
cl,5,20,4,43.37,0.95,117.7,127.76,130.44,0.8,0.97,1.63,7.43,8.68,2.77,0.36,15.07,5.45,127.41,9.33,41.05,1.45,41.09,32235,0.14,214.8827,7.46,cl-5-20
cl,5,20,5,26.08,0.87,142.13,154.14,152.31,0.77,0.93,1.8,5.76,6.84,3.35,0.3,13.37,4,152.22,7.61,34.74,1.26,43.19,26638,0.16,100.165,5.36,cl-5-20
cl,5,20,6,56.64,0.97,102.02,115.18,112.95,0.88,0.99,1.16,8.49,9.21,1,1,9.27,9.27,113.01,10.2,37.08,1.07,38.99,35034,0.08,320.6362,8.5,cl-5-20
cl,5,20,7,21.66,0.83,122.43,119.38,122.09,0.76,0.91,1.43,5.25,6.24,1.99,0.5,9.68,4.86,120.51,7.12,29.08,1.14,42.34,18559,0.16,75.8208,5.8,cl-5-20
cl,5,20,8,37.93,0.68,140.67,143.94,138.7,0.77,0.92,1.24,6.95,7.76,1,1,8.25,8.25,140.07,9.11,32.99,1.09,28.84,32077,0.1,175.7132,6.66,cl-5-20
cl,5,20,9,56.64,0.93,123.27,133.78,132.95,0.93,1,1.06,8.49,8.87,1,1,8.88,8.88,132.09,9.33,35.52,1.06,29.56,40949,0.04,320.6362,8.01,cl-5-20
cl,5,20,10,41.78,0.76,126.91,138.14,138.22,0.83,0.96,1.04,7.29,7.74,1,1,7.82,7.82,136.84,8.8,31.29,1.04,34.19,33663,0.06,203.1184,6.26,cl-5-20
cl,5,20,11,45.67,0.89,144.35,140.25,134.7,0.91,0.99,1.07,7.63,8.83,1,1,8.88,8.88,138.83,9.46,35.52,1.51,10.37,36511,0.14,232.1648,8.01,cl-5-20
cl,5,20,12,29.74,0.95,134.55,131.64,134.12,0.93,1,1.03,6.15,6.5,1,1,6.88,6.88,132.4,6.98,27.52,1.05,24.94,25420,0.05,121.993,5.8,cl-5-20
cl,5,20,13,61.14,0.85,130.09,135.53,138.02,0.89,0.99,1.03,8.82,9.14,1,1,8.99,8.99,135.12,9.99,35.98,1.05,32.88,44453,0.03,359.6638,8.01,cl-5-20
cl,5,20,14,33.69,0.92,121.4,131.69,131.67,0.81,0.97,1.4,6.55,7.56,1.88,0.53,10.97,5.84,129.92,8.07,33.63,1.14,41.91,27283,0.13,147.0892,6.9,cl-5-20
cl,5,20,15,23.12,0.98,138.38,136.56,139.19,0.94,1,1,5.43,5.72,1,1,6.16,6.16,137.2,5.98,24.66,1.04,21.05,22090,0.05,83.60601,5.25,cl-5-20
cl,5,20,16,24.38,0.95,129.36,133.65,133.17,0.83,0.95,1.32,5.57,6.48,1.46,0.68,8.63,5.91,133.03,7.21,29.08,1.11,44.31,22216,0.14,90.543,5.72,cl-5-20
cl,5,20,17,57.11,0.85,144.1,139.97,134.27,0.88,0.98,1.1,8.53,9.92,1,1,9.82,9.82,138.54,10.69,39.29,1.43,9.52,43225,0.14,324.658,8.85,cl-5-20
cl,5,20,18,30.17,0.85,159.03,149.53,146.85,0.88,0.98,1.08,6.2,6.66,1,1,7.07,7.07,149.06,7.32,28.3,1.06,6.06,28917,0.07,124.682,5.8,cl-5-20
cl,5,20,19,29.96,0.93,131.72,134.37,135.61,0.92,0.99,1.03,6.18,6.52,1,1,6.91,6.91,134.41,7.05,27.65,1.05,32.36,25942,0.05,123.3343,5.88,cl-5-20
cl,5,20,20,38.6,0.7,160.51,153.51,145.03,0.78,0.93,1.25,7.01,7.84,1,1,8.33,8.33,151.75,9.46,33.31,1.09,47.11,35205,0.11,180.428,5.85,cl-5-20
cl,5,20,21,29.52,0.9,145.13,150.99,147.36,0.92,0.99,1.02,6.13,6.44,1,1,6.83,6.83,148.73,6.98,27.33,1.05,27.18,28408,0.05,120.6579,5.8,cl-5-20
cl,5,20,22,32.58,0.92,130.34,130.38,128.57,0.92,1,1.03,6.44,6.76,1,1,7.11,7.11,129.82,7.18,28.43,1.05,23.06,26613,0.05,139.9175,6.35,cl-5-20
cl,5,20,23,31.7,0.94,127.52,119.83,115.57,0.93,1,1.05,6.35,7.19,1,1,7.5,7.5,119.43,7.57,30,1.36,12.87,24006,0.12,134.2906,6.66,cl-5-20
cl,5,20,24,33.47,0.99,142.93,145.46,145.23,0.93,1,1.05,6.53,7.42,1,1,7.66,7.66,144.59,7.83,30.64,1.36,8.15,30219,0.12,145.6426,6.91,cl-5-20
cl,5,20,25,45.67,0.89,108.48,117.84,118.59,0.92,0.99,1.03,7.63,7.95,1,1,8.05,8.05,116.99,8.68,32.21,1.05,36.45,30768,0.04,232.1648,7.05,cl-5-20
cl,5,20,26,38.38,0.93,125.46,136.97,135.71,0.87,0.99,1.11,6.99,7.62,1,1,7.86,7.86,135.27,8.74,31.42,1.06,40.83,31247,0.08,178.8506,6.91,cl-5-20
cl,5,20,27,39.51,0.89,117.96,131.23,130.61,0.92,0.99,1.02,7.09,7.4,1,1,7.58,7.58,128.93,8.03,30.32,1.05,38.92,30427,0.04,186.7958,6.66,cl-5-20
cl,5,20,28,24.17,0.82,128.77,133.18,131.64,0.79,0.94,1.66,5.55,6.75,2.87,0.35,12.06,4.2,132.22,7.61,32.53,1.2,38.82,21948,0.18,89.37008,5.45,cl-5-20
